GO ID	Reactome Verb
0004402	acetylates
0001634	activates
0003713	activates
0005086	activates
0005096	activates
0005098	activates
0005099	activates
0005100	activates
0016004	activates
0016504	activates
0017112	activates
0030290	activates
0030675	activates
0000150	base pairs
0000149	binds
0001609	binds
0001664	binds
0002020	binds
0003689	binds
0003700	binds
0003723	binds
0004888	binds
0004930	binds
0004938	binds
0004965	binds
0005026	binds
0005041	binds
0005047	binds
0005048	binds
0005068	binds
0005160	binds
0005488	binds
0005501	binds
0005504	binds
0005509	binds
0005515	binds
0005524	binds
0005525	binds
0005537	binds
0008134	binds
0008179	binds
0008270	binds
0016362	binds
0017046	binds
0019001	binds
0019992	binds
0030552	binds
0030674	binds
0031624	binds
0042166	binds
0043130	binds
0043531	binds
0043565	binds
0051787	binds
0003844	branches
0003989	carboxylates
0004485	carboxylates
0004638	carboxylates
0004658	carboxylates
0004736	carboxylates
0008488	carboxylates
0000175	cleaves
0000703	cleaves
0004151	cleaves
0004175	cleaves
0004177	cleaves
0004180	cleaves
0004181	cleaves
0004185	cleaves
0004190	cleaves
0004197	cleaves
0004222	cleaves
0004252	cleaves
0004332	cleaves
0004519	cleaves
0004520	cleaves
0004521	cleaves
0004523	cleaves
0004525	cleaves
0004527	cleaves
0004532	cleaves
0004534	cleaves
0004535	cleaves
0004536	cleaves
0004843	cleaves
0004844	cleaves
0008117	cleaves
0008233	cleaves
0008234	cleaves
0008235	cleaves
0008236	cleaves
0008237	cleaves
0008296	cleaves
0008386	cleaves
0008534	cleaves
0008656	cleaves
0016805	cleaves
0016888	cleaves
0016896	cleaves
0017065	cleaves
0017108	cleaves
0019104	cleaves
0030305	cleaves
0070283	cleaves
0070573	cleaves
0005298	co-transports
0005309	co-transports
0005330	co-transports
0005332	co-transports
0005334	co-transports
0005335	co-transports
0005362	co-transports
0005366	co-transports
0005367	co-transports
0005412	co-transports
0005415	co-transports
0008507	co-transports
0008508	co-transports
0008510	co-transports
0008511	co-transports
0015333	co-transports
0015361	co-transports
0015362	co-transports
0015375	co-transports
0015378	co-transports
0015379	co-transports
0015382	co-transports
0015538	co-transports
0002083	combines
0003866	condenses
0004016	converts
0004383	converts
0008294	converts
0000225	deacetylates
0004407	deacetylates
0050119	deacetylates
0003726	deaminates
0003876	deaminates
0004000	deaminates
0004126	deaminates
0004132	deaminates
0008829	deaminates
0004014	decarboxylates
0004058	decarboxylates
0004163	decarboxylates
0004351	decarboxylates
0004398	decarboxylates
0004586	decarboxylates
0004590	decarboxylates
0004609	decarboxylates
0004633	decarboxylates
0004782	decarboxylates
0004853	decarboxylates
0008792	decarboxylates
0036169	decarboxylates
0050080	decarboxylates
0004096	decomposes
0004392	decyclizes
0003855	dehydrates
0004089	dehydrates
0008124	dehydrates
0046570	dehydrates
0000104	dehydrogenates
0000252	dehydrogenates
0003826	dehydrogenates
0003842	dehydrogenates
0003845	dehydrogenates
0003854	dehydrogenates
